IMS_Master__r_Billing_Location__r_Client_from_Parent__c,IMS_Master__r_Billing_Location__r_Job_From_Name__c,IMS_Master__r_Order_Group__c,IMS_Master__r_Product_Name__c,IMS_Master__r_Manufacturer__r_Name,IMS_Master__r_Manufacturer_Number__c,IMS_Master__r_Feature__c,IMS_Master__r_Color__c,IMS_Master__r_IMS_Build__r_Logo_Design_1__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_1__c,IMS_Master__r_IMS_Build__r_Logo_Design_2__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_2__c,IMS_Master__r_IMS_Build__r_Logo_Design_3__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_3__c,IMS_Master__r_IMS_Build__r_Logo_Design_4__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_4__c,Size__c,IMS_Master__r_Class__c,IMS_Master__r_Category__c,IMS_Master__r_Group__c,IMS_Master__r_Sub_Group__c,Id
"Apple, Inc./Mesa","Apple AZ, Mesa","Apple, Inc./Mesa",8" GX Side Zip Gore-Tex Boot,Bates Footwear,H00 2731,"",Black,"","","","","","","","",11,Uniform,Clothing,Campus,Specialist,a4bA00000016afSIAQ
"Apple, Inc./Mesa","Apple AZ, Mesa","Apple, Inc./Mesa",8" GX Side Zip Gore-Tex Boot,Bates Footwear,H00 2731,"",Black,"","","","","","","","",11.5,Uniform,Clothing,Campus,Specialist,a4bA00000016afTIAQ
"Apple, Inc./Mesa","Apple AZ, Mesa","Apple, Inc./Mesa",8" GX Side Zip Gore-Tex Boot,Bates Footwear,H00 2731,"",Black,"","","","","","","","",12,Uniform,Clothing,Campus,Specialist,a4bA00000016afUIAQ
"Apple, Inc./Mesa","Apple AZ, Mesa","Apple, Inc./Mesa",8" GX Side Zip Gore-Tex Boot,Bates Footwear,H00 2731,"",Black,"","","","","","","","",14,Uniform,Clothing,Campus,Specialist,a4bA00000016afVIAQ
"Apple, Inc./Mesa","Apple AZ, Mesa","Apple, Inc./Mesa",8" GX Side Zip Gore-Tex Boot,Bates Footwear,H00 2731,"",Black,"","","","","","","","",15,Uniform,Clothing,Campus,Specialist,a4bA00000016afWIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,TaskForce Zephyr Desert GTX 9" High Boot,LOWA Boots LLC,FW218,"",Khaki,"","","","","","","","",8.5,Uniform,Clothing,Campus,General,a4bA00000016ag6IAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",34,Uniform,Clothing,Campus,Specialist,a4bA00000016asgIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,TaskForce Zephyr Desert GTX 9" High Boot,LOWA Boots LLC,FW218,"",Khaki,"","","","","","","","",13,Uniform,Clothing,Campus,General,a4bA00000016ah9IAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,TaskForce Zephyr Desert GTX 9" High Boot,LOWA Boots LLC,FW218,"",Khaki,"","","","","","","","",11,Uniform,Clothing,Campus,General,a4bA00000016agkIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,TaskForce Zephyr Desert GTX 9" High Boot,LOWA Boots LLC,FW218,"",Khaki,"","","","","","","","",12,Uniform,Clothing,Campus,General,a4bA00000016aglIAA
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,TR727,"",Black,"","","","","","","","",40,Uniform,Clothing,Campus,Specialist,a4bA00000016azXIAQ
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,TR727,"",Black,"","","","","","","","",40,Uniform,Clothing,Campus,Specialist,a4bA00000016azYIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,TaskForce Zephyr Desert GTX 9" High Boot,LOWA Boots LLC,FW218,"",Khaki,"","","","","","","","",14,Uniform,Clothing,Campus,General,a4bA00000016agmIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Waterproof Insulated Duty Glove,LawPro Uni,GL010,"",Black,"","","","","","","","",S,Uniform,Clothing,Campus,General,a4bA00000016apDIAQ
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",36,Uniform,Clothing,Campus,Specialist,a4bA00000016aawIAA
